,lat,long
0,37.75835,-122.42139
1,37.75835,-122.42139
2,37.75836,-122.42139
3,37.75836,-122.42138
4,37.75837,-122.42137
5,37.75837,-122.42137
6,37.75838,-122.42136
7,37.75838,-122.42136
8,37.75838,-122.42135
9,37.75839,-122.42134
10,37.75839,-122.42134
11,37.7584,-122.42133
12,37.7584,-122.42133
13,37.7584,-122.42133
14,37.7584,-122.42133
15,37.7584,-122.42133
16,37.7584,-122.42133
17,37.7584,-122.42133
18,37.7584,-122.42133
19,37.7584,-122.42134
20,37.7584,-122.42134
21,37.7584,-122.42135
22,37.7584,-122.42135
23,37.7584,-122.42137
24,37.75841,-122.42137
25,37.75845,-122.42138
26,37.75848,-122.42138
27,37.7585,-122.42139
28,37.75853,-122.4214
29,37.75857,-122.42137
30,37.75862,-122.42136
31,37.75866,-122.42136
32,37.75871,-122.42137
33,37.75875,-122.42135
34,37.75879,-122.42135
35,37.75884,-122.42133
36,37.75888,-122.42132
37,37.75892,-122.42131
38,37.75896,-122.42129
39,37.75902,-122.42127
40,37.75907,-122.42125
41,37.75912,-122.42123
42,37.75922,-122.42134
43,37.7593,-122.42136
44,37.75936,-122.42139
45,37.75943,-122.42139
46,37.7595,-122.4214
47,37.75957,-122.4214
48,37.75964,-122.42142
49,37.75971,-122.42144
50,37.75978,-122.42144
51,37.75984,-122.42146
52,37.7599,-122.42146
53,37.75994,-122.42146
54,37.75998,-122.42146
55,37.76001,-122.42143
56,37.76004,-122.42141
57,37.76005,-122.42141
58,37.76006,-122.4214
59,37.76008,-122.4214
60,37.76009,-122.4214
61,37.76012,-122.42139
62,37.76012,-122.42139
63,37.76013,-122.42139
64,37.76015,-122.42139
65,37.76018,-122.42139
66,37.7602,-122.42139
67,37.76022,-122.4214
68,37.76025,-122.4214
69,37.76028,-122.4214
70,37.76033,-122.4214
71,37.76037,-122.42141
72,37.76041,-122.42141
73,37.76044,-122.42139
74,37.76048,-122.42139
75,37.76052,-122.4214
76,37.76062,-122.42143
77,37.76069,-122.42143
78,37.76074,-122.42144
79,37.76076,-122.42145
80,37.76078,-122.42146
81,37.76083,-122.42147
82,37.76088,-122.42148
83,37.76098,-122.42149
84,37.76104,-122.4215
85,37.76107,-122.4215
86,37.7611,-122.4215
87,37.76114,-122.42151
88,37.76119,-122.42152
89,37.76123,-122.42152
90,37.76127,-122.42152
91,37.76136,-122.42152
92,37.76141,-122.42152
93,37.76145,-122.42152
94,37.76148,-122.42152
95,37.76148,-122.42152
96,37.7615,-122.42152
97,37.76152,-122.42153
98,37.76152,-122.42153
99,37.76153,-122.42153
100,37.76153,-122.42153
101,37.76154,-122.42153
102,37.76154,-122.42153
103,37.76155,-122.42153
104,37.76156,-122.42154
105,37.76156,-122.42154
106,37.76156,-122.42154
107,37.76156,-122.42154
108,37.76157,-122.42154
109,37.76159,-122.42154
110,37.76162,-122.42154
111,37.76165,-122.42154
112,37.76168,-122.42154
113,37.76171,-122.42155
114,37.76174,-122.42156
115,37.76179,-122.42157
116,37.76183,-122.42157
117,37.76189,-122.42158
118,37.76195,-122.42158
119,37.76201,-122.42158
120,37.76207,-122.42158
121,37.76213,-122.42157
122,37.7622,-122.42158
123,37.76226,-122.42158
124,37.76233,-122.42157
125,37.76239,-122.42156
126,37.76246,-122.42156
127,37.76252,-122.42156
128,37.76259,-122.42157
129,37.76265,-122.42158
130,37.76271,-122.42159
131,37.76277,-122.42161
132,37.76282,-122.42162
133,37.76287,-122.42163
134,37.76293,-122.42163
135,37.76297,-122.42164
136,37.76301,-122.42164
137,37.76304,-122.42164
138,37.76307,-122.42165
139,37.76309,-122.42165
140,37.76312,-122.42166
141,37.76314,-122.42166
142,37.76316,-122.42167
143,37.76319,-122.42167
144,37.76321,-122.42167
145,37.76325,-122.42168
146,37.76329,-122.42169
147,37.76333,-122.4217
148,37.76337,-122.42171
149,37.76342,-122.42171
150,37.76346,-122.4217
151,37.7635,-122.42171
152,37.76355,-122.42171
153,37.76361,-122.42172
154,37.76366,-122.42172
155,37.76371,-122.42173
156,37.76376,-122.42174
157,37.76381,-122.42175
158,37.76385,-122.42175
159,37.7639,-122.42175
160,37.76396,-122.42174
161,37.76402,-122.42174
162,37.76409,-122.42174
163,37.76414,-122.42175
164,37.7642,-122.42176
165,37.76425,-122.42176
166,37.76431,-122.42176
167,37.76436,-122.42176
168,37.76446,-122.42177
169,37.7645,-122.42178
170,37.76454,-122.42178
171,37.76462,-122.42179
172,37.76466,-122.42178
173,37.7647,-122.42178
174,37.76473,-122.42179
175,37.76476,-122.42179
176,37.76482,-122.4218
177,37.76494,-122.4218
178,37.76496,-122.42181
179,37.76499,-122.42181
180,37.76505,-122.42182
181,37.76512,-122.42181
182,37.76519,-122.4218
183,37.76525,-122.42181
184,37.76531,-122.42182
185,37.76537,-122.42182
186,37.76544,-122.42184
187,37.7655,-122.42186
188,37.76556,-122.42187
189,37.76562,-122.42189
190,37.76568,-122.4219
191,37.76574,-122.42191
192,37.7658,-122.42191
193,37.76586,-122.42191
194,37.76593,-122.42191
195,37.76598,-122.42191
196,37.76605,-122.42191
197,37.76611,-122.42192
198,37.76617,-122.42193
199,37.76621,-122.42194
200,37.76626,-122.42194
201,37.76631,-122.42195
202,37.76636,-122.42196
203,37.76641,-122.42197
204,37.76647,-122.42198
205,37.76653,-122.42198
206,37.76658,-122.42198
207,37.76663,-122.42198
208,37.76666,-122.422
209,37.76669,-122.42201
210,37.76673,-122.42202
211,37.76683,-122.42204
212,37.76686,-122.42205
213,37.7669,-122.42206
214,37.76696,-122.42206
215,37.76702,-122.42206
216,37.76707,-122.42206
217,37.7672,-122.42208
218,37.76725,-122.42208
219,37.7673,-122.42209
220,37.76736,-122.4221
221,37.76741,-122.4221
222,37.76746,-122.42211
223,37.7675,-122.42212
224,37.76755,-122.42214
225,37.76759,-122.42214
226,37.76763,-122.42214
227,37.76769,-122.42214
228,37.76778,-122.42216
229,37.76784,-122.42216
230,37.7679,-122.42216
231,37.76793,-122.42216
232,37.76792,-122.42216
233,37.76794,-122.42216
234,37.76795,-122.42216
235,37.76798,-122.42216
236,37.768,-122.42216
237,37.76803,-122.42216
238,37.76805,-122.42216
239,37.76806,-122.42216
240,37.76807,-122.42215
241,37.76809,-122.42215
242,37.76811,-122.42216
