latitude,longitude,elevation
41.363223,-124.02412,41.2
41.363248,-124.024085,41.2
41.36327,-124.024045,41.4
41.363291,-124.024001,41.4
41.363311,-124.023957,41.4
41.363335,-124.023908,41.4
41.363361,-124.023862,41.6
41.363385,-124.023821,41.6
41.363409,-124.023783,41.6
41.363433,-124.023751,41.6
41.363451,-124.023716,41.6
41.363466,-124.023681,41.6
41.363481,-124.023647,41.6
41.363497,-124.02361,41.6
41.363502,-124.023571,41.6
41.363518,-124.023534,41.6
41.363537,-124.023501,41.6
41.363552,-124.023469,41.8
41.363567,-124.023439,42.0
41.363572,-124.023404,42.2
41.363582,-124.02337,42.2
41.363599,-124.023339,42.2
41.363614,-124.02331,42.2
41.363628,-124.02328,42.4
41.363636,-124.023241,42.4
41.363642,-124.0232,42.4
41.363654,-124.023161,42.6
41.363665,-124.02312,42.6
41.363676,-124.023079,42.6
41.363684,-124.023039,42.6
41.363691,-124.023001,42.6
41.363699,-124.022962,42.6
41.363709,-124.022925,42.6
41.363714,-124.022888,42.8
41.363725,-124.022851,42.8
41.363737,-124.02281,42.8
41.363751,-124.022772,42.8
41.363759,-124.022728,43.0
41.363771,-124.022687,43.0
41.363783,-124.022646,43.0
41.363794,-124.022608,43.0
41.363805,-124.022566,43.0
41.363823,-124.022527,43.0
41.363842,-124.022491,43.0
41.363864,-124.022457,43.0
41.363881,-124.02242,43.0
41.3639,-124.022381,43.0
41.363917,-124.022342,43.0
41.363932,-124.022301,43.0
41.363944,-124.022255,43.2
41.363957,-124.022213,43.2
41.363973,-124.022172,43.2
41.363987,-124.022128,43.2
41.363998,-124.022082,43.4
41.364008,-124.022035,43.4
41.364017,-124.021987,43.4
41.364024,-124.021935,43.6
41.364032,-124.021886,43.6
41.364044,-124.021837,43.6
41.364055,-124.021788,43.6
41.364065,-124.02174,43.6
41.364073,-124.02169,43.6
41.364068,-124.021637,43.6
41.36406,-124.021585,43.4
41.364054,-124.021534,43.4
41.364037,-124.021475,43.6
41.364021,-124.021421,43.6
41.364006,-124.021371,43.8
41.36399,-124.021323,43.8
41.363971,-124.021277,43.8
41.36395,-124.021231,44.0
41.363927,-124.021187,44.0
41.363904,-124.021145,43.8
41.363881,-124.021107,43.8
41.363849,-124.021074,43.8
41.363807,-124.021052,43.6
41.363764,-124.021053,43.6
41.363717,-124.021066,43.8
41.363671,-124.021085,43.8
41.363627,-124.021112,43.8
41.363581,-124.021141,43.8
41.363535,-124.021171,43.8
41.363489,-124.021203,43.8
41.363443,-124.021235,43.8
41.363395,-124.021269,43.8
41.363348,-124.0213,43.8
41.3633,-124.021332,43.8
41.363251,-124.021365,43.8
41.363203,-124.021397,43.8
41.363153,-124.021431,43.6
41.363103,-124.021464,43.6
41.363001,-124.021531,43.6
41.362976,-124.021548,43.6
41.36295,-124.021564,43.4
41.362899,-124.021597,43.4
41.362849,-124.021629,43.2
41.362799,-124.021662,43.2
41.36275,-124.021694,43.2
41.362702,-124.021725,43.2
41.362654,-124.021756,43.0
41.362606,-124.021786,43.0
41.362559,-124.021817,43.0
41.362511,-124.021847,43.0
41.362462,-124.021876,43.0
41.362413,-124.021905,43.0
41.362364,-124.021935,43.0
41.362314,-124.021963,42.8
41.362263,-124.021992,42.8
41.362212,-124.022019,42.8
41.36216,-124.022047,42.8
41.362107,-124.022077,42.8
41.362054,-124.022111,42.8
41.362004,-124.022147,42.8
41.361953,-124.022184,42.8
41.361904,-124.022222,42.6
41.361855,-124.022261,42.4
41.361807,-124.022301,42.4
41.361757,-124.022339,42.2
41.361707,-124.022375,42.2
41.361656,-124.02241,42.0
41.361606,-124.022444,42.0
41.361556,-124.022481,41.8
41.361507,-124.022517,41.8
41.361458,-124.022553,41.8
41.361409,-124.022587,41.6
41.361361,-124.022622,41.4
41.361311,-124.022657,41.4
41.361261,-124.022693,41.4
41.36121,-124.022728,41.4
41.361158,-124.022764,41.4
41.361105,-124.0228,41.4
41.361052,-124.022836,41.2
41.360999,-124.022872,41.2
41.360947,-124.02291,41.2
41.360895,-124.022949,41.2
41.360845,-124.022985,41.0
41.360795,-124.023021,40.8
41.360747,-124.023057,40.8
41.360699,-124.023092,40.6
41.36065,-124.023126,40.6
41.360602,-124.023159,40.4
41.360556,-124.023193,40.4
41.360508,-124.023227,40.2
41.360461,-124.023259,40.2
41.360415,-124.023291,40.2
41.360369,-124.023321,40.0
41.360323,-124.023352,40.0
41.360276,-124.023383,40.0
41.360229,-124.023414,40.0
41.360182,-124.023445,40.0
41.360134,-124.023477,40.0
41.360087,-124.023513,40.0
41.36004,-124.02355,40.0
41.359994,-124.023586,40.0
41.359944,-124.023621,39.8
41.359894,-124.023656,39.8
41.359846,-124.023691,39.8
41.359796,-124.023725,39.6
41.359749,-124.023758,39.6
41.359701,-124.023792,39.4
41.359652,-124.023827,39.4
41.359602,-124.023861,39.2
41.359551,-124.023897,39.2
41.3595,-124.023933,39.2
41.359449,-124.02397,39.2
41.359398,-124.024006,39.2
41.359348,-124.024042,39.0
41.359299,-124.024078,39.0
41.359251,-124.024111,39.0
41.359203,-124.024143,38.8
41.359157,-124.024176,38.6
41.359112,-124.024209,38.6
41.359066,-124.024241,38.6
41.35902,-124.024273,38.6
41.358973,-124.024305,38.6
41.358926,-124.024337,38.6
41.358878,-124.024371,38.6
41.358831,-124.024404,38.6
41.358784,-124.024437,38.6
41.358738,-124.02447,38.6
41.35869,-124.024502,38.6
41.358643,-124.024536,38.4
41.358595,-124.02457,38.4
41.358546,-124.024602,38.2
41.358497,-124.024634,38.2
41.358449,-124.024667,38.2
41.358402,-124.024701,38.2
41.358355,-124.024737,38.2
41.358306,-124.024773,38.2
41.358257,-124.024809,38.0
41.358207,-124.024846,38.0
41.358156,-124.024883,38.0
41.358105,-124.024919,38.0
41.358054,-124.024955,38.0
41.358004,-124.024991,38.0
41.357954,-124.025026,37.8
41.357904,-124.025061,37.8
41.357855,-124.025096,37.6
41.357807,-124.025128,37.6
41.357758,-124.025159,37.6
41.35771,-124.025192,37.4
41.357662,-124.025225,37.4
41.357616,-124.02526,37.4
41.357569,-124.025295,37.4
41.357523,-124.025328,37.6
41.357476,-124.025361,37.6
41.35743,-124.025394,37.6
41.357384,-124.025425,37.6
41.357338,-124.025454,37.8
41.357292,-124.025481,37.8
41.357247,-124.025512,37.8
41.357202,-124.025543,37.8
41.357157,-124.025574,37.8
41.357112,-124.025605,37.8
41.357065,-124.025636,37.6
41.357018,-124.025667,37.4
41.356972,-124.0257,37.4
41.356925,-124.025736,37.2
41.356879,-124.025771,37.2
41.35683,-124.025801,37.0
41.356781,-124.025833,37.0
41.356734,-124.025868,36.8
41.356688,-124.025902,36.8
41.356641,-124.025937,36.6
41.356593,-124.025972,36.6
41.356544,-124.026008,36.4
41.356496,-124.026044,36.4
41.356446,-124.026082,36.2
41.356396,-124.026119,36.2
41.356346,-124.026153,36.0
41.356295,-124.026186,36.0
41.356245,-124.026221,35.8
41.356193,-124.026258,35.6
41.356141,-124.026291,35.4
41.356091,-124.02632,35.4
41.356041,-124.026343,35.2
41.355989,-124.02637,35.0
41.355939,-124.026398,35.0
41.35589,-124.026429,35.0
41.355842,-124.026459,35.0
41.355795,-124.026487,35.0
41.355749,-124.026515,35.0
41.355705,-124.026541,35.0
41.355661,-124.026568,35.0
41.355619,-124.026595,35.0
41.355576,-124.026618,35.0
41.355531,-124.026646,35.0
41.355485,-124.026672,35.0
41.35544,-124.026697,35.0
41.355394,-124.026719,34.8
41.355348,-124.026741,34.8
41.355299,-124.026765,34.6
41.355251,-124.026789,34.6
41.355201,-124.026816,34.4
41.355152,-124.02684,34.4
41.355103,-124.026866,34.2
41.355053,-124.026892,34.2
41.355001,-124.026916,34.0
41.354952,-124.026934,34.0
41.354904,-124.026955,34.0
41.354858,-124.026973,33.8
41.354816,-124.026985,33.8
41.354773,-124.026997,33.6
41.35473,-124.027011,33.6
41.354688,-124.027024,33.6
41.354648,-124.027037,33.4
41.35461,-124.027048,33.4
41.354573,-124.02706,33.2
41.354533,-124.02707,33.2
41.354494,-124.027078,33.2
41.354454,-124.027083,33.2
41.354413,-124.02709,33.0
41.354372,-124.027104,33.0
41.35433,-124.027117,32.8
41.354286,-124.027129,32.8
41.354239,-124.027145,32.6
41.354192,-124.027162,32.6
41.354144,-124.027186,32.4
41.354096,-124.027204,32.4
41.354045,-124.027218,32.4
41.353994,-124.027228,32.4
41.353944,-124.027241,32.2
41.353894,-124.027254,32.2
41.353843,-124.027269,32.0
41.353792,-124.027278,32.0
41.353741,-124.02728,31.8
41.353689,-124.027283,31.6
41.35364,-124.027283,31.6
41.353591,-124.027286,31.4
41.353541,-124.027297,31.4
41.353492,-124.027312,31.4
41.353437,-124.027323,31.4
41.353381,-124.027332,31.4
41.353325,-124.027342,31.4
41.353271,-124.027352,31.4
41.353214,-124.027363,31.4
41.353163,-124.027373,31.4
41.353117,-124.027385,31.4
41.353075,-124.027394,31.2
41.353032,-124.027402,31.0
41.352986,-124.027406,31.0
41.352941,-124.02741,31.0
41.352878,-124.027414,31.0
41.352817,-124.027424,31.0
41.352752,-124.027429,30.8
41.352689,-124.027431,30.8
41.352643,-124.02743,30.6
41.352596,-124.02743,30.6
41.352502,-124.02743,30.6
41.352453,-124.027439,30.6
41.352405,-124.027448,30.6
41.352307,-124.027467,30.6
41.352229,-124.02747,30.6
41.352155,-124.027471,30.6
41.352086,-124.027476,30.6
41.352014,-124.027481,30.4
41.351945,-124.027486,30.4
41.35188,-124.027482,30.4
41.351814,-124.027484,30.4
41.351749,-124.027486,30.4
41.351682,-124.027497,30.4
41.351617,-124.027498,30.4
41.35155,-124.027508,30.2
41.351483,-124.02752,30.2
41.351417,-124.027528,30.4
41.351356,-124.027537,30.4
41.351294,-124.027545,30.4
41.351232,-124.027552,30.6
41.351174,-124.027559,30.6
41.351121,-124.027572,30.6
41.35107,-124.027586,30.6
41.351022,-124.027599,30.6
41.350973,-124.02761,30.4
41.350924,-124.027618,30.4
41.350868,-124.027626,30.2
41.350811,-124.027633,30.2
41.350742,-124.027641,30.2
41.35067,-124.027648,30.0
41.350599,-124.027657,30.0
41.350532,-124.027666,29.6
41.350465,-124.027682,29.4
41.350387,-124.027685,29.0
41.350318,-124.0277,29.0
41.350254,-124.027703,28.8
41.350177,-124.027701,28.6
41.350104,-124.027711,28.4
41.350036,-124.02772,28.2
41.349967,-124.027723,28.2
41.349897,-124.027713,28.0
41.34983,-124.027714,28.0
41.349764,-124.027701,27.8
41.349716,-124.027681,27.6
41.349637,-124.027595,27.4
41.349565,-124.027547,27.2
41.349501,-124.027504,27.2
41.34944,-124.02746,27.0
41.349386,-124.027417,27.0
41.349341,-124.027378,27.0
41.349281,-124.027347,27.0
41.349217,-124.027322,27.0
41.349151,-124.027314,27.0
41.349082,-124.027309,27.0
41.349024,-124.027338,27.0
41.348971,-124.027382,27.2
41.348916,-124.027426,27.2
41.348862,-124.027463,27.4
41.34881,-124.027511,27.4
41.348765,-124.027553,27.8
41.348722,-124.027596,27.8
41.34868,-124.027639,28.2
41.348635,-124.027683,28.2
41.348592,-124.027725,28.4
41.348546,-124.027767,28.6
41.3485,-124.027806,28.6
41.348451,-124.027843,29.0
41.348408,-124.027883,29.0
41.348366,-124.027921,29.2
41.348325,-124.027961,29.2
41.348285,-124.027998,29.4
41.348249,-124.028035,29.6
41.348219,-124.028075,29.6
41.348186,-124.028114,29.8
41.348149,-124.028152,29.8
41.348112,-124.02819,30.0
41.34807,-124.028225,30.0
41.34802,-124.028248,30.0
41.347976,-124.028275,30.2
41.347939,-124.028306,30.2
41.347904,-124.02834,30.4
41.347863,-124.028366,30.4
41.347819,-124.028394,30.4
41.347778,-124.028423,30.4
41.347738,-124.028456,30.2
41.347692,-124.028483,30.2
41.347651,-124.028515,30.2
41.347604,-124.028549,30.2
41.347558,-124.028586,30.2
41.347511,-124.028625,30.2
41.347462,-124.028665,30.2
41.347414,-124.028702,30.2
41.347363,-124.028741,30.2
41.347314,-124.028779,30.0
41.347266,-124.028819,29.8
41.347216,-124.028857,29.8
41.347167,-124.028893,29.6
41.347119,-124.028927,29.6
41.347068,-124.028961,29.4
41.34702,-124.028998,29.4
41.346974,-124.029034,29.2
41.346926,-124.029072,29.2
41.346876,-124.029112,29.0
41.346824,-124.029151,28.8
41.34677,-124.029189,28.8
41.346715,-124.02923,28.4
41.34666,-124.029272,28.4
41.346603,-124.029315,28.0
41.346547,-124.029359,28.0
41.346494,-124.029405,27.8
41.346439,-124.029451,27.8
41.346385,-124.029496,27.6
41.34633,-124.029541,27.4
41.346275,-124.029582,27.4
41.34622,-124.029621,27.2
41.346164,-124.029661,27.0
41.346109,-124.029699,26.6
41.346054,-124.029737,26.4
41.345998,-124.029774,26.2
41.34594,-124.029808,26.0
41.345882,-124.029844,26.0
41.345826,-124.029881,25.8
41.345773,-124.029918,25.6
41.345721,-124.029948,25.4
41.345668,-124.029977,25.2
41.345618,-124.030004,25.2
41.345574,-124.030029,25.0
41.345533,-124.030042,25.0
41.345512,-124.030054,24.6
41.345507,-124.03006,24.6
41.345502,-124.03006,24.4
41.345507,-124.030065,24.4
41.345443,-124.03007,23.8
41.345425,-124.030084,23.8
41.345402,-124.030101,23.8
41.345374,-124.030121,23.8
41.345345,-124.030144,23.8
41.345315,-124.030168,23.8
41.345282,-124.030192,23.8
41.345241,-124.030214,23.6
41.345195,-124.030238,23.6
41.345147,-124.030264,23.6
41.345093,-124.030284,23.6
41.345041,-124.030309,23.6
41.344984,-124.030335,23.4
41.344927,-124.030364,23.2
41.344867,-124.030388,23.0
41.344805,-124.030411,22.8
41.344745,-124.030436,22.6
41.344686,-124.030463,22.6
41.34463,-124.030495,22.4
41.344573,-124.03053,22.2
41.344509,-124.030561,22.0
41.34445,-124.030594,21.8
41.34439,-124.030624,21.8
41.344336,-124.030656,21.6
41.34428,-124.030685,21.6
41.344221,-124.030714,21.4
41.344158,-124.030743,21.4
41.344092,-124.03077,21.2
41.344024,-124.030798,21.0
41.343958,-124.03083,21.0
41.343891,-124.030864,20.8
41.343825,-124.030898,20.8
41.343762,-124.030938,20.6
41.3437,-124.030983,20.6
41.343636,-124.031024,20.4
41.343577,-124.031068,20.4
41.343516,-124.031117,20.4
41.343454,-124.031171,20.4
41.343385,-124.03123,20.2
41.343313,-124.031281,20.2
41.343259,-124.031334,20.2
41.343208,-124.031391,20.2
41.343167,-124.03145,20.2
41.343112,-124.031506,20.4
41.343073,-124.031566,20.4
41.343034,-124.031629,20.6
41.342972,-124.031683,20.6
41.342917,-124.031736,20.6
41.342865,-124.031783,20.6
41.34283,-124.031827,20.6
41.342785,-124.031876,20.6
41.342744,-124.031929,20.6
41.342717,-124.031978,20.8
41.342696,-124.032025,21.0
41.342675,-124.032061,21.0
41.342641,-124.032122,21.0
41.3426,-124.032182,21.0
41.342561,-124.032243,21.0
41.342525,-124.0323,21.0
41.34249,-124.032357,20.8
41.342449,-124.032416,20.8
41.342404,-124.032478,20.8
41.342363,-124.032545,20.6
41.342337,-124.032612,20.6
41.342316,-124.032678,20.6
41.342286,-124.032744,20.4
41.342261,-124.032811,20.4
41.342248,-124.032867,20.2
41.342222,-124.032921,20.2
41.3422,-124.032987,20.0
41.342175,-124.033051,20.0
41.342168,-124.03312,20.0
41.342159,-124.033191,20.0
41.342041,-124.033226,19.8
41.342003,-124.033287,19.8
41.341935,-124.033339,19.8
41.341892,-124.033399,19.8
41.341856,-124.033461,19.8
41.341821,-124.033516,19.8
41.341786,-124.033575,19.8
41.341716,-124.033625,20.0
41.341609,-124.033665,20.0
41.341509,-124.033702,20.0
41.341328,-124.033715,20.0
41.341146,-124.033728,20.2
41.341085,-124.033762,20.2
41.34102,-124.033795,20.4
41.340939,-124.033821,20.6
41.34087,-124.033846,20.6
41.340804,-124.033863,20.8
41.340741,-124.033873,20.8
41.340678,-124.033879,20.8
41.340614,-124.033879,21.0
41.340548,-124.033877,21.0
