,lat,long
246,37.75419,-122.43878
247,37.75424,-122.43878
248,37.75429,-122.43879
249,37.75435,-122.43881
250,37.7544,-122.43881
251,37.75445,-122.43881
252,37.7545,-122.43881
253,37.75455,-122.43882
254,37.7546,-122.43883
255,37.75464,-122.43884
256,37.75468,-122.43885
257,37.75472,-122.43886
258,37.75476,-122.43887
259,37.75479,-122.43889
260,37.75483,-122.4389
261,37.75487,-122.4389
262,37.75491,-122.4389
263,37.75495,-122.4389
264,37.75499,-122.43889
265,37.75502,-122.4389
266,37.75506,-122.43891
267,37.7551,-122.43891
268,37.75514,-122.43891
269,37.75518,-122.4389
270,37.75522,-122.4389
271,37.75525,-122.43889
272,37.75528,-122.43888
273,37.75532,-122.43888
274,37.75536,-122.43888
275,37.75539,-122.43888
276,37.75543,-122.43888
277,37.75546,-122.4389
278,37.75549,-122.43891
279,37.75553,-122.43892
280,37.75557,-122.43894
281,37.75561,-122.43894
282,37.75564,-122.43895
283,37.75568,-122.43895
284,37.75571,-122.43895
285,37.75575,-122.43895
286,37.75578,-122.43895
287,37.75582,-122.43895
288,37.75586,-122.43895
289,37.75589,-122.43895
290,37.75593,-122.43894
291,37.75596,-122.43894
292,37.756,-122.43895
293,37.75604,-122.43895
294,37.75607,-122.43895
295,37.75611,-122.43896
296,37.75614,-122.43896
297,37.75618,-122.43896
298,37.75621,-122.43896
299,37.75625,-122.43896
300,37.75628,-122.43896
301,37.75632,-122.43896
302,37.75635,-122.43897
303,37.75638,-122.43898
304,37.75641,-122.43898
305,37.75644,-122.43899
306,37.75647,-122.43901
307,37.75649,-122.43903
308,37.7565,-122.43906
309,37.75651,-122.43909
310,37.75651,-122.43912
311,37.75651,-122.43915
312,37.75651,-122.43917
313,37.75651,-122.4392
314,37.75651,-122.43923
315,37.75651,-122.43926
316,37.75651,-122.43929
317,37.7565,-122.43932
318,37.7565,-122.43934
319,37.7565,-122.43937
320,37.7565,-122.4394
321,37.75649,-122.43943
322,37.75649,-122.43946
323,37.75649,-122.4395
324,37.75649,-122.43952
325,37.75649,-122.43955
326,37.75649,-122.43958
327,37.75648,-122.43961
328,37.75648,-122.43964
329,37.75648,-122.43966
330,37.75648,-122.43969
331,37.75648,-122.43972
332,37.75647,-122.43975
333,37.75647,-122.43978
334,37.75647,-122.4398
335,37.75647,-122.43983
336,37.75647,-122.43986
337,37.75646,-122.43988
338,37.75646,-122.43991
339,37.75646,-122.43994
340,37.75646,-122.43996
341,37.75646,-122.43999
342,37.75646,-122.44001
343,37.75646,-122.44004
344,37.75646,-122.44006
345,37.75646,-122.44009
346,37.75645,-122.44012
347,37.75645,-122.44016
348,37.75644,-122.44019
349,37.75644,-122.44022
350,37.75643,-122.44025
351,37.75642,-122.44028
352,37.75641,-122.44032
353,37.7564,-122.44034
354,37.7564,-122.44037
355,37.75639,-122.4404
356,37.75638,-122.44044
357,37.75638,-122.44047
358,37.75638,-122.4405
359,37.75637,-122.44052
360,37.75637,-122.44055
361,37.75637,-122.44058
362,37.75636,-122.44061
363,37.75635,-122.44063
364,37.75635,-122.44066
365,37.75634,-122.44069
366,37.75634,-122.44072
367,37.75633,-122.44075
368,37.75633,-122.44078
369,37.75632,-122.44081
370,37.75632,-122.44084
371,37.75631,-122.44087
372,37.75631,-122.44089
373,37.75632,-122.44091
374,37.75632,-122.44093
375,37.75633,-122.44094
376,37.75634,-122.44093
377,37.75634,-122.44092
378,37.75634,-122.44092
379,37.75634,-122.44091
380,37.75635,-122.4409
381,37.75635,-122.4409
382,37.75636,-122.44089
383,37.75637,-122.44088
384,37.75637,-122.44087
385,37.75638,-122.44087
386,37.75639,-122.44088
387,37.7564,-122.4409
388,37.75641,-122.44091
389,37.75641,-122.44093
390,37.7564,-122.44094
391,37.75639,-122.44094
392,37.75637,-122.44092
393,37.75636,-122.4409
394,37.75635,-122.44087
395,37.75635,-122.44085
396,37.75636,-122.44083
397,37.75637,-122.44081
398,37.7564,-122.44081
399,37.75642,-122.44082
400,37.75643,-122.44084
401,37.75644,-122.44087
402,37.75643,-122.4409
403,37.75643,-122.44092
404,37.75642,-122.44095
405,37.75641,-122.44098
406,37.7564,-122.44101
407,37.75639,-122.44104
408,37.75638,-122.44106
409,37.75637,-122.44109
410,37.75636,-122.44112
411,37.75635,-122.44114
412,37.75634,-122.44117
413,37.75633,-122.4412
414,37.75631,-122.44123
415,37.7563,-122.44125
416,37.75629,-122.44126
417,37.75627,-122.44128
418,37.75626,-122.44128
419,37.75624,-122.44128
420,37.75623,-122.44127
421,37.75621,-122.44126
422,37.75618,-122.44126
423,37.75616,-122.44126
424,37.75615,-122.44127
425,37.75615,-122.44128
426,37.75616,-122.4413
427,37.75617,-122.44133
428,37.75618,-122.44136
429,37.75618,-122.44139
430,37.75618,-122.44143
431,37.75618,-122.44146
432,37.75618,-122.4415
433,37.75617,-122.44153
434,37.75616,-122.44156
435,37.75615,-122.44159
436,37.75613,-122.44162
437,37.75612,-122.44166
438,37.75611,-122.4417
439,37.7561,-122.44174
440,37.75609,-122.44178
441,37.75608,-122.44182
442,37.75606,-122.44185
443,37.75605,-122.44189
444,37.75603,-122.44193
445,37.75601,-122.44196
446,37.756,-122.442
447,37.75598,-122.44203
448,37.75597,-122.44207
449,37.75596,-122.4421
450,37.75594,-122.44213
451,37.75593,-122.44217
452,37.75591,-122.4422
453,37.7559,-122.44223
454,37.75588,-122.44227
455,37.75587,-122.4423
456,37.75585,-122.44233
457,37.75584,-122.44236
458,37.75582,-122.44239
459,37.75581,-122.44242
460,37.75579,-122.44244
461,37.75577,-122.44247
462,37.75576,-122.44249
463,37.75574,-122.44252
464,37.75573,-122.44254
465,37.75571,-122.44257
466,37.7557,-122.44259
467,37.75568,-122.44262
468,37.75567,-122.44264
469,37.75566,-122.44267
470,37.75565,-122.4427
471,37.75565,-122.44272
472,37.75564,-122.44275
473,37.75562,-122.44277
474,37.75561,-122.4428
475,37.75559,-122.44282
476,37.75558,-122.44284
477,37.75556,-122.44286
478,37.75555,-122.44288
479,37.75555,-122.44291
480,37.75556,-122.44293
481,37.75558,-122.44295
482,37.7556,-122.44297
483,37.75562,-122.44299
484,37.75565,-122.443
485,37.75569,-122.44302
486,37.75573,-122.44304
487,37.75577,-122.44306
488,37.75582,-122.44308
489,37.75588,-122.44309
490,37.75593,-122.44311
491,37.75599,-122.44314
492,37.75604,-122.44316
493,37.75609,-122.44318
494,37.75615,-122.4432
495,37.75621,-122.44323
496,37.75628,-122.44326
497,37.75634,-122.44328
498,37.75641,-122.4433
499,37.75648,-122.44332
500,37.75654,-122.44333
501,37.7566,-122.44334
502,37.75667,-122.44335
503,37.75673,-122.44336
504,37.75679,-122.44338
505,37.75686,-122.44341
506,37.75692,-122.44346
507,37.75698,-122.4435
508,37.75704,-122.44355
509,37.7571,-122.4436
510,37.75715,-122.44367
511,37.7572,-122.44375
512,37.75723,-122.44383
513,37.75726,-122.44391
514,37.75729,-122.444
515,37.75733,-122.44408
516,37.75738,-122.44416
517,37.75744,-122.44422
518,37.75751,-122.44427
519,37.75757,-122.44432
520,37.75764,-122.44437
521,37.75771,-122.44442
522,37.75778,-122.44448
523,37.75783,-122.44454
524,37.75788,-122.44462
525,37.7579,-122.4447
526,37.75791,-122.4448
527,37.7579,-122.44489
528,37.75788,-122.44496
529,37.75785,-122.44504
530,37.75782,-122.44512
531,37.75779,-122.4452
532,37.75776,-122.44529
533,37.75776,-122.44538
534,37.75778,-122.44547
535,37.75782,-122.44555
536,37.75787,-122.44561
537,37.75794,-122.44565
538,37.75801,-122.44567
539,37.75808,-122.44567
540,37.75815,-122.44568
541,37.75822,-122.44568
542,37.75829,-122.44569
543,37.75835,-122.44571
544,37.7584,-122.44575
545,37.75844,-122.44578
546,37.75848,-122.44582
547,37.75853,-122.44584
548,37.75857,-122.44588
549,37.7586,-122.44591
550,37.75862,-122.44594
551,37.75865,-122.44596
552,37.75869,-122.44599
553,37.75872,-122.44602
554,37.75875,-122.44607
555,37.75878,-122.44613
556,37.7588,-122.44619
557,37.75882,-122.44626
558,37.75884,-122.44631
559,37.75886,-122.44636
560,37.7589,-122.4464
561,37.75893,-122.44642
562,37.75897,-122.44642
563,37.75901,-122.44642
564,37.75905,-122.44642
565,37.75909,-122.44642
566,37.75912,-122.44643
567,37.75916,-122.44643
568,37.75919,-122.44643
569,37.75922,-122.44643
570,37.75925,-122.44644
571,37.75928,-122.44645
572,37.75931,-122.44646
573,37.75934,-122.44646
574,37.75936,-122.44647
575,37.75939,-122.44648
576,37.75941,-122.44648
577,37.75943,-122.44649
578,37.75945,-122.4465
579,37.75949,-122.44648
580,37.75953,-122.44648
581,37.75958,-122.44647
582,37.75962,-122.44647
583,37.75966,-122.44646
584,37.7597,-122.44645
585,37.75975,-122.44644
586,37.75979,-122.44644
587,37.75983,-122.44643
588,37.75986,-122.44643
589,37.75991,-122.44642
590,37.75995,-122.44642
591,37.75999,-122.44642
592,37.76003,-122.44642
593,37.76006,-122.44643
594,37.7601,-122.44644
595,37.76014,-122.44644
596,37.76018,-122.44642
597,37.76022,-122.44641
598,37.76026,-122.44639
599,37.7603,-122.44638
600,37.76033,-122.44639
601,37.76037,-122.44638
602,37.7604,-122.44638
603,37.76044,-122.44638
604,37.76048,-122.44638
605,37.76052,-122.44638
606,37.76056,-122.44638
607,37.7606,-122.44637
608,37.76063,-122.44637
609,37.76067,-122.44637
610,37.7607,-122.44636
611,37.76073,-122.44635
612,37.76077,-122.44634
613,37.76081,-122.44634
614,37.76084,-122.44634
615,37.76088,-122.44635
616,37.76091,-122.44636
